,Unnamed: 0,country,job_category,year,number_worker,most_popular_job_cat,worker_percentage
0,0,AFG,Total,2021,1829046,Agriculture,100
1,1,AFG,Agriculture,2021,1280255,Agriculture,70.00
2,2,AFG,Manufacturing,2021,293039,Agriculture,16.02
3,3,AFG,Construction,2021,12618,Agriculture,0.69
4,4,AFG,Mining_and_quarrying,2021,-1,Agriculture,-0.00
5,5,AFG,Market_services,2021,18656,Agriculture,1.02
6,6,AFG,Non_market_services,2021,89416,Agriculture,4.89
7,7,AFG,Non_classified,2021,135062,Agriculture,7.38
55,55,AFG,Total,2020,1140725,Agriculture,100
56,56,AFG,Agriculture,2020,598464,Agriculture,52.46
57,57,AFG,Manufacturing,2020,283231,Agriculture,24.83
58,58,AFG,Construction,2020,7835,Agriculture,0.69
59,59,AFG,Mining_and_quarrying,2020,-1,Agriculture,-0.00
60,60,AFG,Market_services,2020,14631,Agriculture,1.28
61,61,AFG,Non_market_services,2020,205067,Agriculture,17.98
62,62,AFG,Non_classified,2020,31030,Agriculture,2.72
108,108,AFG,Total,2017,1378224,Agriculture,100
109,109,AFG,Agriculture,2017,903558,Agriculture,65.56
110,110,AFG,Manufacturing,2017,314740,Agriculture,22.84
111,111,AFG,Construction,2017,4498,Agriculture,0.33
112,112,AFG,Mining_and_quarrying,2017,-1,Agriculture,-0.00
113,113,AFG,Market_services,2017,15413,Agriculture,1.12
114,114,AFG,Non_market_services,2017,117914,Agriculture,8.56
115,115,AFG,Non_classified,2017,21995,Agriculture,1.60
164,164,AFG,Total,2014,1684229,Agriculture,100
165,165,AFG,Agriculture,2014,953930,Agriculture,56.64
166,166,AFG,Manufacturing,2014,349881,Agriculture,20.77
167,167,AFG,Construction,2014,13986,Agriculture,0.83
168,168,AFG,Mining_and_quarrying,2014,-1,Agriculture,-0.00
169,169,AFG,Market_services,2014,15324,Agriculture,0.91
170,170,AFG,Non_market_services,2014,105444,Agriculture,6.26
171,171,AFG,Non_classified,2014,245664,Agriculture,14.59
220,220,AFG,Total,2012,1061452,Agriculture,100
221,221,AFG,Agriculture,2012,565217,Agriculture,53.25
222,222,AFG,Manufacturing,2012,241834,Agriculture,22.78
223,223,AFG,Construction,2012,3495,Agriculture,0.33
224,224,AFG,Market_services,2012,6693,Agriculture,0.63
225,225,AFG,Non_market_services,2012,229201,Agriculture,21.59
226,226,AFG,Non_classified,2012,15012,Agriculture,1.41
269,269,AFG,Total,2008,2551157,Agriculture,100
270,270,AFG,Agriculture,2008,1950196,Agriculture,76.44
271,271,AFG,Manufacturing,2008,239342,Agriculture,9.38
272,272,AFG,Construction,2008,4934,Agriculture,0.19
273,273,AFG,Mining_and_quarrying,2008,1517,Agriculture,0.06
274,274,AFG,Market_services,2008,78828,Agriculture,3.09
275,275,AFG,Non_market_services,2008,265098,Agriculture,10.39
276,276,AFG,Non_classified,2008,11242,Agriculture,0.44
324,324,AGO,Total,2021,5660669,Agriculture,100
325,325,AGO,Agriculture,2021,3417641,Agriculture,60.38
326,326,AGO,Manufacturing,2021,42937,Agriculture,0.76
327,327,AGO,Construction,2021,-1,Agriculture,-0.00
328,328,AGO,Mining_and_quarrying,2021,5880,Agriculture,0.10
329,329,AGO,Market_services,2021,1540359,Agriculture,27.21
330,330,AGO,Non_market_services,2021,560171,Agriculture,9.90
331,331,AGO,Non_classified,2021,93485,Agriculture,1.65
379,379,AGO,Total,2019,5183558,Agriculture,100
380,380,AGO,Agriculture,2019,2992076,Agriculture,57.72
381,381,AGO,Manufacturing,2019,72802,Agriculture,1.40
382,382,AGO,Construction,2019,15168,Agriculture,0.29
383,383,AGO,Mining_and_quarrying,2019,8904,Agriculture,0.17
384,384,AGO,Market_services,2019,1354292,Agriculture,26.13
385,385,AGO,Non_market_services,2019,582962,Agriculture,11.25
386,386,AGO,Non_classified,2019,157354,Agriculture,3.04
434,434,AGO,Total,2014,2374555,Agriculture,100
435,435,AGO,Agriculture,2014,1301764,Agriculture,54.82
436,436,AGO,Manufacturing,2014,9655,Agriculture,0.41
437,437,AGO,Construction,2014,12665,Agriculture,0.53
438,438,AGO,Mining_and_quarrying,2014,6218,Agriculture,0.26
439,439,AGO,Market_services,2014,277538,Agriculture,11.69
440,440,AGO,Non_market_services,2014,247489,Agriculture,10.42
441,441,AGO,Non_classified,2014,519225,Agriculture,21.87
490,490,AGO,Total,2011,3427531,Agriculture,100
491,491,AGO,Agriculture,2011,1986555,Agriculture,57.96
492,492,AGO,Manufacturing,2011,15348,Agriculture,0.45
493,493,AGO,Construction,2011,14778,Agriculture,0.43
494,494,AGO,Mining_and_quarrying,2011,8713,Agriculture,0.25
495,495,AGO,Market_services,2011,950450,Agriculture,27.73
496,496,AGO,Non_market_services,2011,451685,Agriculture,13.18
539,539,AGO,Total,2009,2708255,Agriculture,100
540,540,AGO,Agriculture,2009,1431617,Agriculture,52.86
541,541,AGO,Manufacturing,2009,18201,Agriculture,0.67
542,542,AGO,Construction,2009,9599,Agriculture,0.35
543,543,AGO,Mining_and_quarrying,2009,5707,Agriculture,0.21
544,544,AGO,Market_services,2009,844023,Agriculture,31.16
545,545,AGO,Non_market_services,2009,363140,Agriculture,13.41
546,546,AGO,Non_classified,2009,35969,Agriculture,1.33
595,595,AGO,Total,2004,2093811,Agriculture,100
596,596,AGO,Agriculture,2004,933860,Agriculture,44.60
597,597,AGO,Manufacturing,2004,16684,Agriculture,0.80
598,598,AGO,Construction,2004,16021,Agriculture,0.77
599,599,AGO,Mining_and_quarrying,2004,3589,Agriculture,0.17
600,600,AGO,Market_services,2004,754251,Agriculture,36.02
601,601,AGO,Non_market_services,2004,369405,Agriculture,17.64
602,602,AGO,Non_classified,2004,-1,Agriculture,-0.00
643,643,ALB,Total,2021,555018,Agriculture,100
644,644,ALB,Agriculture,2021,221927,Agriculture,39.99
645,645,ALB,Manufacturing,2021,74838,Agriculture,13.48
646,646,ALB,Construction,2021,2517,Agriculture,0.45
647,647,ALB,Mining_and_quarrying,2021,4842,Agriculture,0.87
648,648,ALB,Market_services,2021,123575,Agriculture,22.27
649,649,ALB,Non_market_services,2021,127319,Agriculture,22.94
692,692,ALB,Total,2019,562476,Agriculture,100
693,693,ALB,Agriculture,2019,233792,Agriculture,41.56
694,694,ALB,Manufacturing,2019,83072,Agriculture,14.77
695,695,ALB,Construction,2019,3428,Agriculture,0.61
696,696,ALB,Mining_and_quarrying,2019,4481,Agriculture,0.80
697,697,ALB,Market_services,2019,121396,Agriculture,21.58
698,698,ALB,Non_market_services,2019,116307,Agriculture,20.68
741,741,ALB,Total,2018,539522,Agriculture,100
742,742,ALB,Agriculture,2018,227904,Agriculture,42.24
743,743,ALB,Manufacturing,2018,77091,Agriculture,14.29
744,744,ALB,Construction,2018,2743,Agriculture,0.51
745,745,ALB,Mining_and_quarrying,2018,4072,Agriculture,0.75
746,746,ALB,Market_services,2018,112268,Agriculture,20.81
747,747,ALB,Non_market_services,2018,115444,Agriculture,21.40
790,790,ALB,Total,2017,514599,Agriculture,100
791,791,ALB,Agriculture,2017,218127,Agriculture,42.39
792,792,ALB,Manufacturing,2017,72097,Agriculture,14.01
793,793,ALB,Construction,2017,2337,Agriculture,0.45
794,794,ALB,Mining_and_quarrying,2017,3288,Agriculture,0.64
795,795,ALB,Market_services,2017,103285,Agriculture,20.07
796,796,ALB,Non_market_services,2017,115430,Agriculture,22.43
797,797,ALB,Non_classified,2017,-1,Agriculture,-0.00
842,842,ALB,Total,2016,504203,Agriculture,100
843,843,ALB,Agriculture,2016,227720,Agriculture,45.16
844,844,ALB,Manufacturing,2016,66430,Agriculture,13.18
845,845,ALB,Construction,2016,2965,Agriculture,0.59
846,846,ALB,Mining_and_quarrying,2016,5162,Agriculture,1.02
847,847,ALB,Market_services,2016,100429,Agriculture,19.92
848,848,ALB,Non_market_services,2016,101282,Agriculture,20.09
849,849,ALB,Non_classified,2016,215,Agriculture,0.04
896,896,ALB,Total,2015,463977,Agriculture,100
897,897,ALB,Agriculture,2015,220460,Agriculture,47.52
898,898,ALB,Manufacturing,2015,55418,Agriculture,11.94
899,899,ALB,Construction,2015,3166,Agriculture,0.68
900,900,ALB,Mining_and_quarrying,2015,6302,Agriculture,1.36
901,901,ALB,Market_services,2015,78381,Agriculture,16.89
902,902,ALB,Non_market_services,2015,99243,Agriculture,21.39
903,903,ALB,Non_classified,2015,1006,Agriculture,0.22
951,951,ALB,Total,2014,445592,Agriculture,100
952,952,ALB,Agriculture,2014,220919,Agriculture,49.58
953,953,ALB,Manufacturing,2014,46348,Agriculture,10.40
954,954,ALB,Construction,2014,1618,Agriculture,0.36
955,955,ALB,Mining_and_quarrying,2014,4220,Agriculture,0.95
956,956,ALB,Market_services,2014,74408,Agriculture,16.70
957,957,ALB,Non_market_services,2014,96407,Agriculture,21.64
958,958,ALB,Non_classified,2014,1672,Agriculture,0.38
1006,1006,ALB,Total,2013,460964,Agriculture,100
1007,1007,ALB,Agriculture,2013,243026,Agriculture,52.72
1008,1008,ALB,Manufacturing,2013,41835,Agriculture,9.08
1009,1009,ALB,Construction,2013,1992,Agriculture,0.43
1010,1010,ALB,Mining_and_quarrying,2013,3187,Agriculture,0.69
1011,1011,ALB,Market_services,2013,77927,Agriculture,16.91
1012,1012,ALB,Non_market_services,2013,91063,Agriculture,19.75
1013,1013,ALB,Non_classified,2013,1934,Agriculture,0.42
1060,1060,ALB,Total,2012,500382,Agriculture,100
1061,1061,ALB,Agriculture,2012,284332,Agriculture,56.82
1062,1062,ALB,Manufacturing,2012,40753,Agriculture,8.14
1063,1063,ALB,Construction,2012,6830,Agriculture,1.36
1064,1064,ALB,Mining_and_quarrying,2012,5326,Agriculture,1.06
1065,1065,ALB,Market_services,2012,79563,Agriculture,15.90
1066,1066,ALB,Non_market_services,2012,83053,Agriculture,16.60
1067,1067,ALB,Non_classified,2012,524,Agriculture,0.10
1115,1115,ALB,Total,2011,511228,Agriculture,100
1116,1116,ALB,Agriculture,2011,276981,Agriculture,54.18
1117,1117,ALB,Manufacturing,2011,45628,Agriculture,8.93
1118,1118,ALB,Construction,2011,7868,Agriculture,1.54
1119,1119,ALB,Mining_and_quarrying,2011,5172,Agriculture,1.01
1120,1120,ALB,Market_services,2011,86906,Agriculture,17.00
1121,1121,ALB,Non_market_services,2011,88672,Agriculture,17.34
1164,1164,ALB,Total,2010,497497,Agriculture,100
1165,1165,ALB,Agriculture,2010,263487,Agriculture,52.96
1166,1166,ALB,Manufacturing,2010,46302,Agriculture,9.31
1167,1167,ALB,Construction,2010,2619,Agriculture,0.53
1168,1168,ALB,Mining_and_quarrying,2010,4171,Agriculture,0.84
1169,1169,ALB,Market_services,2010,82508,Agriculture,16.58
1170,1170,ALB,Non_market_services,2010,98409,Agriculture,19.78
1212,1212,ALB,Total,2009,497244,Agriculture,100
1213,1213,ALB,Agriculture,2009,282761,Agriculture,56.87
1214,1214,ALB,Manufacturing,2009,44176,Agriculture,8.88
1215,1215,ALB,Construction,2009,4136,Agriculture,0.83
1216,1216,ALB,Mining_and_quarrying,2009,3104,Agriculture,0.62
1217,1217,ALB,Market_services,2009,73969,Agriculture,14.88
1218,1218,ALB,Non_market_services,2009,89099,Agriculture,17.92
1260,1260,ALB,Total,2008,500293,Agriculture,100
1261,1261,ALB,Agriculture,2008,282714,Agriculture,56.51
1262,1262,ALB,Manufacturing,2008,37742,Agriculture,7.54
1263,1263,ALB,Construction,2008,2550,Agriculture,0.51
1264,1264,ALB,Mining_and_quarrying,2008,4350,Agriculture,0.87
1265,1265,ALB,Market_services,2008,76591,Agriculture,15.31
1266,1266,ALB,Non_market_services,2008,96182,Agriculture,19.23
1267,1267,ALB,Non_classified,2008,-1,Agriculture,-0.00
1312,1312,ALB,Total,2007,372444,Agriculture,100
1313,1313,ALB,Agriculture,2007,167697,Agriculture,45.03
1314,1314,ALB,Manufacturing,2007,45964,Agriculture,12.34
1315,1315,ALB,Construction,2007,3568,Agriculture,0.96
1316,1316,ALB,Mining_and_quarrying,2007,2672,Agriculture,0.72
1317,1317,ALB,Market_services,2007,68103,Agriculture,18.29
1318,1318,ALB,Non_market_services,2007,84440,Agriculture,22.67
1359,1359,ARE,Total,2023,1976877,Non_market_services,100
1360,1360,ARE,Agriculture,2023,1290,Non_market_services,0.07
1361,1361,ARE,Manufacturing,2023,64086,Non_market_services,3.24
1362,1362,ARE,Construction,2023,63287,Non_market_services,3.20
1363,1363,ARE,Mining_and_quarrying,2023,47718,Non_market_services,2.41
1364,1364,ARE,Market_services,2023,768002,Non_market_services,38.85
1365,1365,ARE,Non_market_services,2023,1006987,Non_market_services,50.94
1366,1366,ARE,Non_classified,2023,25507,Non_market_services,1.29
1415,1415,ARE,Total,2022,1766614,Non_market_services,100
1416,1416,ARE,Agriculture,2022,-1,Non_market_services,-0.00
1417,1417,ARE,Manufacturing,2022,58283,Non_market_services,3.30
1418,1418,ARE,Construction,2022,42247,Non_market_services,2.39
1419,1419,ARE,Mining_and_quarrying,2022,16674,Non_market_services,0.94
1420,1420,ARE,Market_services,2022,638592,Non_market_services,36.15
1421,1421,ARE,Non_market_services,2022,1008567,Non_market_services,57.09
1422,1422,ARE,Non_classified,2022,1412,Non_market_services,0.08
1470,1470,ARE,Total,2021,1695698,Non_market_services,100
1471,1471,ARE,Agriculture,2021,-1,Non_market_services,-0.00
1472,1472,ARE,Manufacturing,2021,59908,Non_market_services,3.53
1473,1473,ARE,Construction,2021,39992,Non_market_services,2.36
1474,1474,ARE,Mining_and_quarrying,2021,14762,Non_market_services,0.87
1475,1475,ARE,Market_services,2021,547508,Non_market_services,32.29
1476,1476,ARE,Non_market_services,2021,1028946,Non_market_services,60.68
1477,1477,ARE,Non_classified,2021,3951,Non_market_services,0.23
1525,1525,ARE,Total,2020,1653025,Non_market_services,100
1526,1526,ARE,Agriculture,2020,-1,Non_market_services,-0.00
1527,1527,ARE,Manufacturing,2020,42062,Non_market_services,2.54
1528,1528,ARE,Construction,2020,35186,Non_market_services,2.13
1529,1529,ARE,Mining_and_quarrying,2020,23403,Non_market_services,1.42
1530,1530,ARE,Market_services,2020,464823,Non_market_services,28.12
1531,1531,ARE,Non_market_services,2020,1086768,Non_market_services,65.74
1532,1532,ARE,Non_classified,2020,537,Non_market_services,0.03
1581,1581,ARE,Total,2019,1771226,Non_market_services,100
1582,1582,ARE,Agriculture,2019,1150,Non_market_services,0.06
1583,1583,ARE,Manufacturing,2019,50624,Non_market_services,2.86
1584,1584,ARE,Construction,2019,37077,Non_market_services,2.09
1585,1585,ARE,Mining_and_quarrying,2019,14562,Non_market_services,0.82
1586,1586,ARE,Market_services,2019,541697,Non_market_services,30.58
1587,1587,ARE,Non_market_services,2019,1123335,Non_market_services,63.42
1588,1588,ARE,Non_classified,2019,2783,Non_market_services,0.16
1637,1637,ARE,Total,2018,1354555,Non_market_services,100
1638,1638,ARE,Agriculture,2018,-1,Non_market_services,-0.00
1639,1639,ARE,Manufacturing,2018,36602,Non_market_services,2.70
1640,1640,ARE,Construction,2018,29840,Non_market_services,2.20
1641,1641,ARE,Mining_and_quarrying,2018,13044,Non_market_services,0.96
1642,1642,ARE,Market_services,2018,394532,Non_market_services,29.13
1643,1643,ARE,Non_market_services,2018,879219,Non_market_services,64.91
1644,1644,ARE,Non_classified,2018,892,Non_market_services,0.07
1693,1693,ARE,Total,2017,1348207,Non_market_services,100
1694,1694,ARE,Agriculture,2017,-1,Non_market_services,-0.00
1695,1695,ARE,Manufacturing,2017,8490,Non_market_services,0.63
1696,1696,ARE,Construction,2017,8369,Non_market_services,0.62
1697,1697,ARE,Mining_and_quarrying,2017,9905,Non_market_services,0.73
1698,1698,ARE,Market_services,2017,94425,Non_market_services,7.00
1699,1699,ARE,Non_market_services,2017,613943,Non_market_services,45.54
1700,1700,ARE,Non_classified,2017,612787,Non_market_services,45.45
1747,1747,ARG,Total,2022,5639958,Non_market_services,100
1748,1748,ARG,Agriculture,2022,20685,Non_market_services,0.37
1749,1749,ARG,Manufacturing,2022,481310,Non_market_services,8.53
1750,1750,ARG,Construction,2022,39221,Non_market_services,0.70
1751,1751,ARG,Mining_and_quarrying,2022,32776,Non_market_services,0.58
1752,1752,ARG,Market_services,2022,1906418,Non_market_services,33.80
1753,1753,ARG,Non_market_services,2022,2924695,Non_market_services,51.86
1754,1754,ARG,Non_classified,2022,234853,Non_market_services,4.16
1803,1803,ARG,Total,2021,5280936,Non_market_services,100
1804,1804,ARG,Agriculture,2021,12251,Non_market_services,0.23
1805,1805,ARG,Manufacturing,2021,401507,Non_market_services,7.60
1806,1806,ARG,Construction,2021,41203,Non_market_services,0.78
1807,1807,ARG,Mining_and_quarrying,2021,28122,Non_market_services,0.53
1808,1808,ARG,Market_services,2021,1787265,Non_market_services,33.84
1809,1809,ARG,Non_market_services,2021,2812517,Non_market_services,53.26
1810,1810,ARG,Non_classified,2021,198071,Non_market_services,3.75
1859,1859,ARG,Total,2020,4785259,Non_market_services,100
1860,1860,ARG,Agriculture,2020,11027,Non_market_services,0.23
1861,1861,ARG,Manufacturing,2020,422784,Non_market_services,8.84
1862,1862,ARG,Construction,2020,31192,Non_market_services,0.65
1863,1863,ARG,Mining_and_quarrying,2020,24504,Non_market_services,0.51
1864,1864,ARG,Market_services,2020,1532626,Non_market_services,32.03
1865,1865,ARG,Non_market_services,2020,2631632,Non_market_services,54.99
1866,1866,ARG,Non_classified,2020,131494,Non_market_services,2.75
1915,1915,ARG,Total,2019,5243334,Non_market_services,100
1916,1916,ARG,Agriculture,2019,10524,Non_market_services,0.20
1917,1917,ARG,Manufacturing,2019,414753,Non_market_services,7.91
1918,1918,ARG,Construction,2019,41401,Non_market_services,0.79
1919,1919,ARG,Mining_and_quarrying,2019,22525,Non_market_services,0.43
1920,1920,ARG,Market_services,2019,1783858,Non_market_services,34.02
1921,1921,ARG,Non_market_services,2019,2806915,Non_market_services,53.53
1922,1922,ARG,Non_classified,2019,163360,Non_market_services,3.12
1971,1971,ARG,Total,2018,5110433,Non_market_services,100
1972,1972,ARG,Agriculture,2018,11486,Non_market_services,0.22
1973,1973,ARG,Manufacturing,2018,397974,Non_market_services,7.79
1974,1974,ARG,Construction,2018,37585,Non_market_services,0.74
1975,1975,ARG,Mining_and_quarrying,2018,23278,Non_market_services,0.46
1976,1976,ARG,Market_services,2018,1740535,Non_market_services,34.06
1977,1977,ARG,Non_market_services,2018,2712878,Non_market_services,53.09
1978,1978,ARG,Non_classified,2018,186697,Non_market_services,3.65
2027,2027,ARG,Total,2017,4932843,Non_market_services,100
2028,2028,ARG,Agriculture,2017,11566,Non_market_services,0.23
2029,2029,ARG,Manufacturing,2017,389514,Non_market_services,7.90
2030,2030,ARG,Construction,2017,34155,Non_market_services,0.69
2031,2031,ARG,Mining_and_quarrying,2017,18230,Non_market_services,0.37
2032,2032,ARG,Market_services,2017,1674044,Non_market_services,33.94
2033,2033,ARG,Non_market_services,2017,2639753,Non_market_services,53.51
2034,2034,ARG,Non_classified,2017,165581,Non_market_services,3.36
2083,2083,ARG,Total,2014,4607653,Non_market_services,100
2084,2084,ARG,Agriculture,2014,7266,Non_market_services,0.16
2085,2085,ARG,Manufacturing,2014,332997,Non_market_services,7.23
2086,2086,ARG,Construction,2014,28360,Non_market_services,0.62
2087,2087,ARG,Mining_and_quarrying,2014,26908,Non_market_services,0.58
2088,2088,ARG,Market_services,2014,1495717,Non_market_services,32.46
2089,2089,ARG,Non_market_services,2014,2526718,Non_market_services,54.84
2090,2090,ARG,Non_classified,2014,189687,Non_market_services,4.12
2139,2139,ARG,Total,2013,4545910,Non_market_services,100
2140,2140,ARG,Agriculture,2013,10371,Non_market_services,0.23
2141,2141,ARG,Manufacturing,2013,356530,Non_market_services,7.84
2142,2142,ARG,Construction,2013,27325,Non_market_services,0.60
2143,2143,ARG,Mining_and_quarrying,2013,22454,Non_market_services,0.49
2144,2144,ARG,Market_services,2013,1500626,Non_market_services,33.01
2145,2145,ARG,Non_market_services,2013,2468502,Non_market_services,54.30
2146,2146,ARG,Non_classified,2013,160101,Non_market_services,3.52
2195,2195,ARG,Total,2012,4510197,Non_market_services,100
2196,2196,ARG,Agriculture,2012,12959,Non_market_services,0.29
2197,2197,ARG,Manufacturing,2012,371112,Non_market_services,8.23
2198,2198,ARG,Construction,2012,29490,Non_market_services,0.65
2199,2199,ARG,Mining_and_quarrying,2012,28520,Non_market_services,0.63
2200,2200,ARG,Market_services,2012,1508546,Non_market_services,33.45
2201,2201,ARG,Non_market_services,2012,2410419,Non_market_services,53.44
2202,2202,ARG,Non_classified,2012,149152,Non_market_services,3.31
2251,2251,ARG,Total,2011,4441322,Non_market_services,100
2252,2252,ARG,Agriculture,2011,12717,Non_market_services,0.29
2253,2253,ARG,Manufacturing,2011,391327,Non_market_services,8.81
2254,2254,ARG,Construction,2011,25426,Non_market_services,0.57
2255,2255,ARG,Mining_and_quarrying,2011,25288,Non_market_services,0.57
2256,2256,ARG,Market_services,2011,1510702,Non_market_services,34.01
2257,2257,ARG,Non_market_services,2011,2327403,Non_market_services,52.40
2258,2258,ARG,Non_classified,2011,148461,Non_market_services,3.34
2307,2307,ARG,Total,2010,4384424,Non_market_services,100
2308,2308,ARG,Agriculture,2010,17052,Non_market_services,0.39
2309,2309,ARG,Manufacturing,2010,375644,Non_market_services,8.57
2310,2310,ARG,Construction,2010,26541,Non_market_services,0.61
2311,2311,ARG,Mining_and_quarrying,2010,15551,Non_market_services,0.35
2312,2312,ARG,Market_services,2010,1519733,Non_market_services,34.66
2313,2313,ARG,Non_market_services,2010,2411593,Non_market_services,55.00
2314,2314,ARG,Non_classified,2010,18311,Non_market_services,0.42
2363,2363,ARG,Total,2009,4396892,Non_market_services,100
2364,2364,ARG,Agriculture,2009,17713,Non_market_services,0.40
2365,2365,ARG,Manufacturing,2009,392000,Non_market_services,8.92
2366,2366,ARG,Construction,2009,26334,Non_market_services,0.60
2367,2367,ARG,Mining_and_quarrying,2009,11559,Non_market_services,0.26
2368,2368,ARG,Market_services,2009,1509303,Non_market_services,34.33
2369,2369,ARG,Non_market_services,2009,2422412,Non_market_services,55.09
2370,2370,ARG,Non_classified,2009,17570,Non_market_services,0.40
2419,2419,ARG,Total,2008,4282769,Non_market_services,100
2420,2420,ARG,Agriculture,2008,15253,Non_market_services,0.36
2421,2421,ARG,Manufacturing,2008,403837,Non_market_services,9.43
2422,2422,ARG,Construction,2008,22576,Non_market_services,0.53
2423,2423,ARG,Mining_and_quarrying,2008,15561,Non_market_services,0.36
2424,2424,ARG,Market_services,2008,1466486,Non_market_services,34.24
2425,2425,ARG,Non_market_services,2008,2337158,Non_market_services,54.57
2426,2426,ARG,Non_classified,2008,21897,Non_market_services,0.51
2475,2475,ARG,Total,2006,4171701,Non_market_services,100
2476,2476,ARG,Agriculture,2006,20815,Non_market_services,0.50
2477,2477,ARG,Manufacturing,2006,415315,Non_market_services,9.96
2478,2478,ARG,Construction,2006,23480,Non_market_services,0.56
2479,2479,ARG,Mining_and_quarrying,2006,11582,Non_market_services,0.28
2480,2480,ARG,Market_services,2006,1357917,Non_market_services,32.55
2481,2481,ARG,Non_market_services,2006,2335924,Non_market_services,55.99
2482,2482,ARG,Non_classified,2006,6667,Non_market_services,0.16
2531,2531,ARG,Total,2005,3984558,Non_market_services,100
2532,2532,ARG,Agriculture,2005,29178,Non_market_services,0.73
2533,2533,ARG,Manufacturing,2005,396208,Non_market_services,9.94
2534,2534,ARG,Construction,2005,20552,Non_market_services,0.52
2535,2535,ARG,Mining_and_quarrying,2005,12498,Non_market_services,0.31
2536,2536,ARG,Market_services,2005,1265850,Non_market_services,31.77
2537,2537,ARG,Non_market_services,2005,2251304,Non_market_services,56.50
2538,2538,ARG,Non_classified,2005,8967,Non_market_services,0.23
2587,2587,ARG,Total,2004,3892125,Non_market_services,100
2588,2588,ARG,Agriculture,2004,38227,Non_market_services,0.98
2589,2589,ARG,Manufacturing,2004,397337,Non_market_services,10.21
2590,2590,ARG,Construction,2004,16197,Non_market_services,0.42
2591,2591,ARG,Mining_and_quarrying,2004,12765,Non_market_services,0.33
2592,2592,ARG,Market_services,2004,1236922,Non_market_services,31.78
2593,2593,ARG,Non_market_services,2004,2182981,Non_market_services,56.09
2594,2594,ARG,Non_classified,2004,7696,Non_market_services,0.20
2642,2642,ARM,Total,2021,591769,Non_market_services,100
2643,2643,ARM,Agriculture,2021,186637,Non_market_services,31.54
2644,2644,ARM,Manufacturing,2021,40872,Non_market_services,6.91
2645,2645,ARM,Construction,2021,3257,Non_market_services,0.55
2646,2646,ARM,Mining_and_quarrying,2021,6781,Non_market_services,1.15
2647,2647,ARM,Market_services,2021,123002,Non_market_services,20.79
2648,2648,ARM,Non_market_services,2021,229737,Non_market_services,38.82
2649,2649,ARM,Non_classified,2021,1483,Non_market_services,0.25
2697,2697,ARM,Total,2020,489281,Non_market_services,100
2698,2698,ARM,Agriculture,2020,100874,Non_market_services,20.62
2699,2699,ARM,Manufacturing,2020,47266,Non_market_services,9.66
2700,2700,ARM,Construction,2020,1821,Non_market_services,0.37
2701,2701,ARM,Mining_and_quarrying,2020,4951,Non_market_services,1.01
2702,2702,ARM,Market_services,2020,129324,Non_market_services,26.43
2703,2703,ARM,Non_market_services,2020,205009,Non_market_services,41.90
2704,2704,ARM,Non_classified,2020,-1,Non_market_services,-0.00
2748,2748,ARM,Total,2019,556912,Agriculture,100
2749,2749,ARM,Agriculture,2019,200420,Agriculture,35.99
2750,2750,ARM,Manufacturing,2019,42698,Agriculture,7.67
2751,2751,ARM,Construction,2019,2222,Agriculture,0.40
2752,2752,ARM,Mining_and_quarrying,2019,5263,Agriculture,0.95
2753,2753,ARM,Market_services,2019,114922,Agriculture,20.64
2754,2754,ARM,Non_market_services,2019,188137,Agriculture,33.78
2755,2755,ARM,Non_classified,2019,3249,Agriculture,0.58
2804,2804,ARM,Total,2018,573841,Agriculture,100
2805,2805,ARM,Agriculture,2018,229959,Agriculture,40.07
2806,2806,ARM,Manufacturing,2018,42728,Agriculture,7.45
2807,2807,ARM,Construction,2018,2115,Agriculture,0.37
2808,2808,ARM,Mining_and_quarrying,2018,5285,Agriculture,0.92
2809,2809,ARM,Market_services,2018,104194,Agriculture,18.16
2810,2810,ARM,Non_market_services,2018,189177,Agriculture,32.97
2811,2811,ARM,Non_classified,2018,-1,Agriculture,-0.00
2856,2856,ARM,Total,2017,481937,Non_market_services,100
2857,2857,ARM,Agriculture,2017,167827,Non_market_services,34.82
2858,2858,ARM,Manufacturing,2017,34581,Non_market_services,7.18
2859,2859,ARM,Construction,2017,726,Non_market_services,0.15
2860,2860,ARM,Mining_and_quarrying,2017,7499,Non_market_services,1.56
2861,2861,ARM,Market_services,2017,98602,Non_market_services,20.46
2862,2862,ARM,Non_market_services,2017,172702,Non_market_services,35.83
2905,2905,ARM,Total,2016,477973,Agriculture,100
2906,2906,ARM,Agriculture,2016,176332,Agriculture,36.89
2907,2907,ARM,Manufacturing,2016,30633,Agriculture,6.41
2908,2908,ARM,Construction,2016,1419,Agriculture,0.30
2909,2909,ARM,Mining_and_quarrying,2016,5905,Agriculture,1.24
2910,2910,ARM,Market_services,2016,93381,Agriculture,19.54
2911,2911,ARM,Non_market_services,2016,170304,Agriculture,35.63
2954,2954,ARM,Total,2015,510371,Agriculture,100
2955,2955,ARM,Agriculture,2015,204308,Agriculture,40.03
2956,2956,ARM,Manufacturing,2015,31236,Agriculture,6.12
2957,2957,ARM,Construction,2015,2013,Agriculture,0.39
2958,2958,ARM,Mining_and_quarrying,2015,5606,Agriculture,1.10
2959,2959,ARM,Market_services,2015,95975,Agriculture,18.80
2960,2960,ARM,Non_market_services,2015,171231,Agriculture,33.55
3003,3003,ARM,Total,2014,544099,Agriculture,100
3004,3004,ARM,Agriculture,2014,220117,Agriculture,40.46
