country,year,average_salary_per_month
TLS,2021,243.256
TLS,2016,650.0
TLS,2013,387.409
TLS,2010,174.04
TLS,2007,163.629
TON,2021,483.894
TON,2018,554.843
TTO,2016,805.156
TTO,2015,819.231
TTO,2014,793.239
TTO,2013,751.187
TTO,2012,721.342
TTO,2011,712.943
TTO,2010,659.32
TUN,2019,231.101
TUR,2023,559.776
TUR,2022,383.87
TUR,2021,426.689
TUR,2020,460.024
TUR,2019,488.204
TUR,2018,470.434
TUR,2017,556.128
TUR,2016,619.255
TUR,2015,574.456
TUR,2014,659.585
TUR,2013,706.93
TUR,2012,693.15
TUR,2011,655.4
TUR,2010,669.204
TUR,2009,605.51
TZA,2020,180.33
TZA,2014,390.784
TZA,2012,227.846
TZA,2010,292.101
TZA,2006,72.295
TZA,2001,53.143
UGA,2021,103.466
UGA,2019,97.057
UGA,2017,82.025
UGA,2014,303.018
UGA,2012,76.665
UGA,2011,225.842
UGA,2010,228.582
URY,2023,1002.968
URY,2019,862.319
URY,2018,917.84
URY,2017,912.592
URY,2016,754.269
URY,2015,784.535
URY,2014,832.432
URY,2013,834.792
URY,2012,756.964
URY,2011,713.724
URY,2010,587.237
URY,2009,483.837
URY,2008,449.616
URY,2007,364.551
URY,2006,309.612
URY,2005,272.47
URY,2004,212.012
URY,2003,204.185
URY,2002,257.888
URY,2001,408.142
URY,2000,439.299
USA,2023,4641.108
USA,2022,4276.698
USA,2021,4043.957
USA,2020,3924.999
USA,2019,3653.084
USA,2018,3520.995
USA,2017,3399.849
USA,2016,3284.471
USA,2015,3186.491
USA,2014,3102.754
USA,2013,3057.458
USA,2012,2972.726
USA,2011,2930.882
USA,2010,2877.925
USA,2009,2826.424
USA,2008,2801.012
USA,2007,2690.616
USA,2006,2612.911
USA,2005,2522.853
USA,2004,2432.472
USA,2003,2367.151
USA,2002,2304.232
USA,2001,2237.571
USA,2000,2136.56
VNM,2023,306.575
VNM,2022,298.984
VNM,2021,269.633
VNM,2020,275.887
VNM,2019,268.938
VNM,2018,237.585
VNM,2017,224.669
VNM,2016,236.99
VNM,2015,224.698
VNM,2014,199.859
VNM,2013,184.614
VNM,2012,167.876
VNM,2011,139.446
VNM,2010,122.238
VUT,2010,351.896
WSM,2022,622.096
WSM,2017,531.719
WSM,2012,559.585
ZAF,2020,373.402
ZAF,2017,550.76
ZAF,2007,512.449
ZAF,2006,441.904
ZAF,2005,442.858
ZAF,2004,393.416
ZAF,2003,334.752
ZAF,2002,230.178
ZAF,2001,265.891
ZAF,2000,5221.406
ZMB,2022,191.727
ZMB,2021,146.106
ZMB,2020,150.617
ZMB,2019,196.338
ZMB,2018,260.218
ZMB,2017,431.414
ZWE,2022,73.704
ZWE,2021,163.54
