"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_TOTAL","CUR_TYPE_USD","2021",110.062,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_X","CUR_TYPE_USD","2021",26.758,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_0","CUR_TYPE_USD","2021",37.684,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_1","CUR_TYPE_USD","2021",53.257,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_2","CUR_TYPE_USD","2021",69.554,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_3","CUR_TYPE_USD","2021",112.831,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_4","CUR_TYPE_USD","2021",172.201,"U",,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_5","CUR_TYPE_USD","2021",264.434,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_9","CUR_TYPE_USD","2021",135.648,,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2019",161.155,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2019",68.862,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2019",87.186,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2019",197.535,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_ADV","CUR_TYPE_USD","2019",388.214,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_X","CUR_TYPE_USD","2019",194.501,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_TOTAL","CUR_TYPE_USD","2019",161.155,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_X","CUR_TYPE_USD","2019",63.256,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_0","CUR_TYPE_USD","2019",74,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_1","CUR_TYPE_USD","2019",74.148,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_2","CUR_TYPE_USD","2019",102.762,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_3","CUR_TYPE_USD","2019",173.773,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_4","CUR_TYPE_USD","2019",395.278,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_5","CUR_TYPE_USD","2019",382.327,"B",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_6","CUR_TYPE_USD","2019",655.744,"U",,"T30:2_I11:264","R1:3513"
"AGO","BA:13951","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_ISCED11_9","CUR_TYPE_USD","2019",194.501,"B",,"T30:2_I11:264","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_TOTAL","CUR_TYPE_USD","2012",2958.607,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_LTB","CUR_TYPE_USD","2012",1865.634,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_BAS","CUR_TYPE_USD","2012",1712.201,,,"T30:159","R1:3513"
"ALB","BB:7401","EAR_4MTH_SEX_EDU_CUR_NB","SEX_F","EDU_AGGREGATE_INT","CUR_TYPE_USD","2012",2173.795,,,"T30:159","R1:3513"
