country,year,ratio_employment_to_population,age_group_simp,level_education_standardised,average_month_earning,average_earning_per_country,average_employ_rate_per_country
AGO,2021,92.894,45_54,ADVANCED,266.746,151.49,60.61
AGO,2021,48.578,55_64,ADVANCED,266.746,151.49,60.61
AGO,2021,-1.0,65+,ADVANCED,266.746,151.49,60.61
AGO,2021,21.044,Total,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,16.278,15_24,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,45.967,25_34,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,75.469,35_44,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,100.0,45_54,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,73.061,55_64,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2021,-1.0,65+,EDU_AGGREGATE_X,135.648,151.49,60.61
AGO,2019,60.942,Total,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,38.284,15_24,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,66.556,25_34,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,79.711,35_44,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,83.62,45_54,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,76.238,55_64,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,54.229,65+,EDU_AGGREGATE_TOTAL,161.155,151.49,60.61
AGO,2019,76.163,Total,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,67.167,15_24,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,79.544,25_34,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,83.888,35_44,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,86.752,45_54,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,79.223,55_64,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,57.498,65+,LESS_THAN_BASIC,68.862,151.49,60.61
AGO,2019,63.158,Total,BASIC,87.186,151.49,60.61
AGO,2019,43.431,15_24,BASIC,87.186,151.49,60.61
AGO,2019,68.074,25_34,BASIC,87.186,151.49,60.61
AGO,2019,77.968,35_44,BASIC,87.186,151.49,60.61
AGO,2019,81.411,45_54,BASIC,87.186,151.49,60.61
AGO,2019,73.204,55_64,BASIC,87.186,151.49,60.61
AGO,2019,44.322,65+,BASIC,87.186,151.49,60.61
AGO,2019,47.697,Total,INTERMEDATE,197.535,151.49,60.61
AGO,2019,23.891,15_24,INTERMEDATE,197.535,151.49,60.61
AGO,2019,50.168,25_34,INTERMEDATE,197.535,151.49,60.61
AGO,2019,73.995,35_44,INTERMEDATE,197.535,151.49,60.61
AGO,2019,78.948,45_54,INTERMEDATE,197.535,151.49,60.61
AGO,2019,65.721,55_64,INTERMEDATE,197.535,151.49,60.61
AGO,2019,-1.0,65+,INTERMEDATE,197.535,151.49,60.61
AGO,2019,64.915,Total,ADVANCED,388.214,151.49,60.61
AGO,2019,24.711,15_24,ADVANCED,388.214,151.49,60.61
AGO,2019,63.003,25_34,ADVANCED,388.214,151.49,60.61
AGO,2019,80.417,35_44,ADVANCED,388.214,151.49,60.61
AGO,2019,85.785,45_54,ADVANCED,388.214,151.49,60.61
AGO,2019,52.192,55_64,ADVANCED,388.214,151.49,60.61
AGO,2019,-1.0,65+,ADVANCED,388.214,151.49,60.61
AGO,2019,24.618,Total,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,15.895,15_24,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,47.873,25_34,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,76.065,35_44,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,85.936,45_54,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,88.098,55_64,EDU_AGGREGATE_X,194.501,151.49,60.61
AGO,2019,51.793,65+,EDU_AGGREGATE_X,194.501,151.49,60.61
ALB,2012,43.23,Total,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,20.695,15_24,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,56.124,25_34,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,66.217,35_44,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,61.422,45_54,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,42.793,55_64,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,8.884,65+,EDU_AGGREGATE_TOTAL,2958.607,1774.74,38.37
ALB,2012,9.777,Total,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,14.888,15_24,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,19.292,25_34,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,46.221,35_44,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,39.79,45_54,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,37.752,55_64,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,4.899,65+,LESS_THAN_BASIC,1865.634,1774.74,38.37
ALB,2012,42.306,Total,BASIC,1712.201,1774.74,38.37
ALB,2012,19.061,15_24,BASIC,1712.201,1774.74,38.37
ALB,2012,53.999,25_34,BASIC,1712.201,1774.74,38.37
ALB,2012,66.333,35_44,BASIC,1712.201,1774.74,38.37
ALB,2012,62.823,45_54,BASIC,1712.201,1774.74,38.37
ALB,2012,46.062,55_64,BASIC,1712.201,1774.74,38.37
ALB,2012,11.207,65+,BASIC,1712.201,1774.74,38.37
ALB,2012,43.72,Total,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,22.015,15_24,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,53.165,25_34,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,60.028,35_44,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,56.99,45_54,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,32.43,55_64,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,4.772,65+,INTERMEDATE,2173.795,1774.74,38.37
ALB,2012,60.095,Total,ADVANCED,3711.56,1774.74,38.37
ALB,2012,26.616,15_24,ADVANCED,3711.56,1774.74,38.37
ALB,2012,65.527,25_34,ADVANCED,3711.56,1774.74,38.37
ALB,2012,87.187,35_44,ADVANCED,3711.56,1774.74,38.37
ALB,2012,78.452,45_54,ADVANCED,3711.56,1774.74,38.37
ALB,2012,59.295,55_64,ADVANCED,3711.56,1774.74,38.37
ALB,2012,3.828,65+,ADVANCED,3711.56,1774.74,38.37
ALB,2008,39.392,Total,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,20.845,15_24,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,51.555,25_34,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,65.228,35_44,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,62.619,45_54,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,25.458,55_64,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,2.969,65+,EDU_AGGREGATE_TOTAL,2877.566,1774.74,38.37
ALB,2008,3.163,Total,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,-1.0,15_24,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,-1.0,25_34,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,-1.0,35_44,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,34.527,45_54,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,12.027,55_64,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,-1.0,65+,LESS_THAN_BASIC,1900.265,1774.74,38.37
ALB,2008,37.788,Total,BASIC,1931.021,1774.74,38.37
ALB,2008,23.312,15_24,BASIC,1931.021,1774.74,38.37
ALB,2008,47.264,25_34,BASIC,1931.021,1774.74,38.37
ALB,2008,65.693,35_44,BASIC,1931.021,1774.74,38.37
ALB,2008,60.498,45_54,BASIC,1931.021,1774.74,38.37
ALB,2008,23.72,55_64,BASIC,1931.021,1774.74,38.37
ALB,2008,4.382,65+,BASIC,1931.021,1774.74,38.37
ALB,2008,41.677,Total,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,12.505,15_24,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,45.295,25_34,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,61.533,35_44,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,61.735,45_54,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,26.305,55_64,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,-1.0,65+,INTERMEDATE,2618.587,1774.74,38.37
ALB,2008,70.02,Total,ADVANCED,3803.212,1774.74,38.37
ALB,2008,39.471,15_24,ADVANCED,3803.212,1774.74,38.37
ALB,2008,81.164,25_34,ADVANCED,3803.212,1774.74,38.37
ALB,2008,83.799,35_44,ADVANCED,3803.212,1774.74,38.37
ALB,2008,88.713,45_54,ADVANCED,3803.212,1774.74,38.37
ALB,2008,45.044,55_64,ADVANCED,3803.212,1774.74,38.37
ALB,2008,-1.0,65+,ADVANCED,3803.212,1774.74,38.37
ALB,2005,39.608,Total,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,26.697,15_24,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,46.648,25_34,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,61.033,35_44,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,61.931,45_54,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,24.838,55_64,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,6.2,65+,EDU_AGGREGATE_TOTAL,2024.379,1774.74,38.37
ALB,2005,43.517,Total,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,40.602,15_24,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,49.209,25_34,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,63.585,35_44,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,59.217,45_54,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,26.32,55_64,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,8.81,65+,LESS_THAN_BASIC,1633.466,1774.74,38.37
ALB,2005,9.659,Total,BASIC,1129.526,1774.74,38.37
ALB,2005,5.263,15_24,BASIC,1129.526,1774.74,38.37
ALB,2005,55.37,25_34,BASIC,1129.526,1774.74,38.37
ALB,2005,-1.0,35_44,BASIC,1129.526,1774.74,38.37
ALB,2005,-1.0,45_54,BASIC,1129.526,1774.74,38.37
ALB,2005,-1.0,55_64,BASIC,1129.526,1774.74,38.37
ALB,2005,46.277,Total,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,21.356,15_24,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,44.075,25_34,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,58.107,35_44,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,64.046,45_54,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,20.891,55_64,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,0.0,65+,INTERMEDATE,1716.976,1774.74,38.37
ALB,2005,57.374,Total,ADVANCED,2807.389,1774.74,38.37
ALB,2005,18.628,15_24,ADVANCED,2807.389,1774.74,38.37
ALB,2005,75.86,25_34,ADVANCED,2807.389,1774.74,38.37
ALB,2005,90.394,35_44,ADVANCED,2807.389,1774.74,38.37
ALB,2005,84.023,45_54,ADVANCED,2807.389,1774.74,38.37
ALB,2005,31.75,55_64,ADVANCED,2807.389,1774.74,38.37
ALB,2005,-1.0,65+,ADVANCED,2807.389,1774.74,38.37
ALB,2002,43.666,Total,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,38.465,15_24,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,55.256,25_34,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,62.086,35_44,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,58.153,45_54,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,25.206,55_64,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,7.841,65+,EDU_AGGREGATE_TOTAL,113.367,1774.74,38.37
ALB,2002,32.73,Total,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,39.134,15_24,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,-1.0,25_34,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,70.926,35_44,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,58.903,45_54,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,30.125,55_64,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,10.045,65+,LESS_THAN_BASIC,77.795,1774.74,38.37
ALB,2002,51.283,Total,BASIC,84.152,1774.74,38.37
ALB,2002,42.606,15_24,BASIC,84.152,1774.74,38.37
ALB,2002,59.83,25_34,BASIC,84.152,1774.74,38.37
ALB,2002,66.384,35_44,BASIC,84.152,1774.74,38.37
ALB,2002,55.894,45_54,BASIC,84.152,1774.74,38.37
ALB,2002,24.768,55_64,BASIC,84.152,1774.74,38.37
ALB,2002,-1.0,65+,BASIC,84.152,1774.74,38.37
ALB,2002,47.808,Total,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,34.184,15_24,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,54.34,25_34,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,52.544,35_44,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,58.749,45_54,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,12.688,55_64,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,-1.0,65+,INTERMEDATE,98.292,1774.74,38.37
ALB,2002,65.439,Total,ADVANCED,164.82,1774.74,38.37
ALB,2002,36.379,15_24,ADVANCED,164.82,1774.74,38.37
ALB,2002,76.555,25_34,ADVANCED,164.82,1774.74,38.37
ALB,2002,85.079,35_44,ADVANCED,164.82,1774.74,38.37
ALB,2002,84.593,45_54,ADVANCED,164.82,1774.74,38.37
ALB,2002,-1.0,55_64,ADVANCED,164.82,1774.74,38.37
ALB,2002,-1.0,65+,ADVANCED,164.82,1774.74,38.37
ARG,2023,49.56,Total,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,27.716,15_24,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,66.67,25_34,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,74.186,35_44,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,73.149,45_54,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,49.417,55_64,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,10.491,65+,EDU_AGGREGATE_TOTAL,551.941,507.84,38.81
ARG,2023,23.336,Total,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,27.246,15_24,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,39.115,25_34,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,49.808,35_44,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,59.992,45_54,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,40.392,55_64,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,6.675,65+,LESS_THAN_BASIC,240.91,507.84,38.81
ARG,2023,32.907,Total,BASIC,280.701,507.84,38.81
ARG,2023,13.681,15_24,BASIC,280.701,507.84,38.81
ARG,2023,52.656,25_34,BASIC,280.701,507.84,38.81
ARG,2023,59.689,35_44,BASIC,280.701,507.84,38.81
ARG,2023,61.409,45_54,BASIC,280.701,507.84,38.81
ARG,2023,41.838,55_64,BASIC,280.701,507.84,38.81
ARG,2023,8.213,65+,BASIC,280.701,507.84,38.81
ARG,2023,53.435,Total,INTERMEDATE,494.627,507.84,38.81
ARG,2023,38.52,15_24,INTERMEDATE,494.627,507.84,38.81
ARG,2023,65.209,25_34,INTERMEDATE,494.627,507.84,38.81
ARG,2023,71.835,35_44,INTERMEDATE,494.627,507.84,38.81
ARG,2023,70.256,45_54,INTERMEDATE,494.627,507.84,38.81
ARG,2023,49.897,55_64,INTERMEDATE,494.627,507.84,38.81
ARG,2023,10.267,65+,INTERMEDATE,494.627,507.84,38.81
ARG,2023,73.786,Total,ADVANCED,831.808,507.84,38.81
ARG,2023,69.97,15_24,ADVANCED,831.808,507.84,38.81
ARG,2023,87.59,25_34,ADVANCED,831.808,507.84,38.81
ARG,2023,90.491,35_44,ADVANCED,831.808,507.84,38.81
ARG,2023,89.731,45_54,ADVANCED,831.808,507.84,38.81
ARG,2023,61.083,55_64,ADVANCED,831.808,507.84,38.81
ARG,2023,19.076,65+,ADVANCED,831.808,507.84,38.81
ARG,2023,6.594,Total,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,-1.0,15_24,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,0.0,25_34,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,23.58,35_44,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,16.794,45_54,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,-1.0,55_64,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2023,-1.0,65+,EDU_AGGREGATE_X,304.847,507.84,38.81
ARG,2022,48.09,Total,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,25.997,15_24,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,64.466,25_34,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,72.962,35_44,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,70.905,45_54,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,49.273,55_64,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,9.152,65+,EDU_AGGREGATE_TOTAL,539.614,507.84,38.81
ARG,2022,23.445,Total,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,15.001,15_24,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,44.618,25_34,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,55.194,35_44,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,51.036,45_54,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,36.968,55_64,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,5.437,65+,LESS_THAN_BASIC,243.3,507.84,38.81
ARG,2022,32.442,Total,BASIC,285.815,507.84,38.81
ARG,2022,13.904,15_24,BASIC,285.815,507.84,38.81
ARG,2022,47.373,25_34,BASIC,285.815,507.84,38.81
ARG,2022,61.16,35_44,BASIC,285.815,507.84,38.81
ARG,2022,59.826,45_54,BASIC,285.815,507.84,38.81
ARG,2022,43.529,55_64,BASIC,285.815,507.84,38.81
ARG,2022,6.836,65+,BASIC,285.815,507.84,38.81
